Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10
Id;Waktu;Ketinggian;Temperatur;Kelembapan Relatif;Tekanan;Arah Angin;Kecepatan Angin;Lintang;Bujur
MAHESWARA_KOMBAT2019;06:17:53;0.0;24.3;76.8;1014.0;0.0;0.05;-7.643372;107.685539
MAHESWARA_KOMBAT2019;06:17:54;0.0;24.3;76.7;1014.1;0.0;0.0;-7.643372;107.685539
MAHESWARA_KOMBAT2019;06:17:55;0.0;24.3;76.7;1014.0;180.0;0.05;-7.643373;107.685539
MAHESWARA_KOMBAT2019;06:17:56;0.0;24.3;76.6;1014.1;0.0;0.0;-7.643373;107.685539
MAHESWARA_KOMBAT2019;06:17:57;0.0;24.3;76.7;1014.1;0.0;0.0;-7.643373;107.685539
MAHESWARA_KOMBAT2019;06:17:58;0.0;24.3;76.7;1014.1;0.0;0.0;-7.643373;107.685539
MAHESWARA_KOMBAT2019;06:17:59;0.0;24.3;76.6;1014.1;0.0;0.0;-7.643373;107.685539
MAHESWARA_KOMBAT2019;06:18:00;0.0;24.3;76.7;1014.1;0.0;0.05;-7.643372;107.685539
MAHESWARA_KOMBAT2019;06:18:01;0.0;24.3;76.7;1014.1;0.0;0.0;-7.643372;107.685539
MAHESWARA_KOMBAT2019;06:18:02;0.0;24.3;76.6;1014.1;0.0;0.05;-7.643372;107.685539
MAHESWARA_KOMBAT2019;06:18:03;0.0;24.3;76.7;1014.1;0.0;0.0;-7.643372;107.685539
MAHESWARA_KOMBAT2019;06:18:04;0.0;24.3;76.7;1014.1;0.0;0.0;-7.643372;107.685539
MAHESWARA_KOMBAT2019;06:18:05;0.0;24.3;76.5;1014.1;0.0;0.0;-7.643372;107.685539
MAHESWARA_KOMBAT2019;06:18:06;0.0;24.3;76.8;1014.1;0.0;0.0;-7.643372;107.685539
MAHESWARA_KOMBAT2019;06:19:58;0.0;24.4;76.5;1014.1;0.0;0.0;-7.643368;107.685539
MAHESWARA_KOMBAT2019;06:19:59;0.0;24.4;76.4;1014.0;0.0;0.0;-7.643368;107.685539
MAHESWARA_KOMBAT2019;06:20:00;0.0;24.4;76.6;1014.1;0.0;0.0;-7.643368;107.685539
MAHESWARA_KOMBAT2019;06:20:01;0.0;24.4;76.8;1014.1;0.0;0.0;-7.643368;107.685539
MAHESWARA_KOMBAT2019;06:20:02;0.0;24.4;76.5;1014.1;0.0;0.0;-7.643368;107.685539
MAHESWARA_KOMBAT2019;06:20:03;0.0;24.4;75.8;1014.1;180.0;0.05;-7.643368;107.685539
MAHESWARA_KOMBAT2019;06:20:04;0.0;24.4;76.6;1014.1;0.0;0.0;-7.643368;107.685539
MAHESWARA_KOMBAT2019;06:20:05;0.0;24.4;76.4;1014.1;0.0;0.0;-7.643368;107.685539
MAHESWARA_KOMBAT2019;06:20:06;0.0;24.4;76.5;1014.1;180.0;0.05;-7.643369;107.685539
MAHESWARA_KOMBAT2019;06:20:07;0.0;24.4;76.4;1014.1;0.0;0.0;-7.643369;107.685539
MAHESWARA_KOMBAT2019;06:20:08;0.0;24.4;76.4;1014.1;0.0;0.0;-7.643369;107.685539
MAHESWARA_KOMBAT2019;06:20:09;0.0;24.4;76.4;1014.1;0.0;0.0;-7.643369;107.685539
MAHESWARA_KOMBAT2019;06:20:10;0.0;24.4;76.3;1014.1;0.0;0.0;-7.643369;107.685539
MAHESWARA_KOMBAT2019;06:20:11;0.0;24.4;76.5;1014.1;180.0;0.05;-7.643369;107.685539
MAHESWARA_KOMBAT2019;06:20:12;0.0;24.4;76.2;1014.1;0.0;0.0;-7.643369;107.685539
MAHESWARA_KOMBAT2019;06:20:14;0.0;24.4;76.4;1014.0;0.0;0.0;-7.643369;107.685539
MAHESWARA_KOMBAT2019;06:20:15;0.0;24.4;76.2;1014.1;0.0;0.0;-7.643369;107.685539
MAHESWARA_KOMBAT2019;06:20:18;0.0;24.4;76.4;1014.0;0.0;0.0;-7.643369;107.685539
MAHESWARA_KOMBAT2019;06:20:19;0.0;24.4;76.4;1014.1;0.0;0.0;-7.643369;107.685539
MAHESWARA_KOMBAT2019;06:20:20;0.0;24.4;76.4;1014.1;266.4;0.84;-7.643369;107.685532
MAHESWARA_KOMBAT2019;06:20:21;0.0;24.4;76.3;1014.1;0.0;0.0;-7.643369;107.685532
MAHESWARA_KOMBAT2019;06:20:22;0.0;24.4;76.1;1014.1;86.4;0.84;-7.643369;107.685539
MAHESWARA_KOMBAT2019;06:20:23;0.0;24.4;76.4;1014.1;270.0;0.84;-7.643369;107.685532
MAHESWARA_KOMBAT2019;06:20:48;0.0;24.4;76.3;1014.1;0.0;0.0;-7.643369;107.685532
MAHESWARA_KOMBAT2019;06:20:50;0.0;24.4;76.2;1014.1;0.0;0.0;-7.643369;107.685532
MAHESWARA_KOMBAT2019;06:20:51;0.0;24.4;76.3;1014.1;0.0;0.0;-7.643369;107.685532
MAHESWARA_KOMBAT2019;06:20:52;0.0;24.4;76.3;1014.1;0.0;0.0;-7.643369;107.685532
MAHESWARA_KOMBAT2019;06:20:53;0.0;24.4;76.3;1014.1;180.0;0.05;-7.643369;107.685532
MAHESWARA_KOMBAT2019;06:20:54;0.0;24.4;76.4;1014.1;0.0;0.0;-7.643369;107.685532
MAHESWARA_KOMBAT2019;06:20:55;0.2;24.4;76.3;1013.9;0.0;0.0;-7.643369;107.685532
MAHESWARA_KOMBAT2019;06:20:56;0.0;24.4;76.3;1014.1;0.0;0.0;-7.643369;107.685532
MAHESWARA_KOMBAT2019;06:20:57;0.0;24.4;76.6;1014.1;0.0;0.0;-7.643369;107.685532
MAHESWARA_KOMBAT2019;06:20:58;0.0;24.4;76.3;1014.1;180.0;0.05;-7.64337;107.685532
MAHESWARA_KOMBAT2019;06:20:59;0.0;24.4;76.3;1014.1;90.0;0.84;-7.64337;107.685539
MAHESWARA_KOMBAT2019;06:21:00;0.0;24.4;76.4;1014.1;0.0;0.0;-7.64337;107.685539
MAHESWARA_KOMBAT2019;06:21:01;0.0;24.4;76.6;1014.1;0.0;0.05;-7.643369;107.685539
MAHESWARA_KOMBAT2019;06:21:02;0.0;24.4;76.1;1014.1;0.0;0.0;-7.643369;107.685539
MAHESWARA_KOMBAT2019;06:21:03;0.0;24.4;76.0;1014.1;0.0;0.0;-7.643369;107.685539
MAHESWARA_KOMBAT2019;06:21:04;0.0;24.4;76.2;1014.1;0.0;0.0;-7.643369;107.685539
MAHESWARA_KOMBAT2019;06:21:05;0.0;24.4;76.4;1014.1;0.0;0.0;-7.643369;107.685539
MAHESWARA_KOMBAT2019;06:21:06;0.0;24.4;76.3;1014.1;0.0;0.0;-7.643369;107.685539
MAHESWARA_KOMBAT2019;06:21:07;0.0;24.4;76.2;1014.1;0.0;0.0;-7.643369;107.685539
MAHESWARA_KOMBAT2019;06:21:08;0.0;24.4;76.2;1014.1;0.0;0.0;-7.643369;107.685539
MAHESWARA_KOMBAT2019;06:21:09;0.0;24.4;76.4;1014.1;0.0;0.05;-7.643369;107.685539
MAHESWARA_KOMBAT2019;06:21:10;0.0;24.4;76.3;1014.1;0.0;0.0;-7.643369;107.685539
